Human Activity Recognition - Internal Test Results\n==================================================\n\nTest Accuracy: 0.9728\n\nIndividual Model Scores:\nXGB: 0.9791\nSVC: 0.9697\nLR: 0.9476\nRF: 0.9626\n\n==================================================\nClassification Report:\n              precision    recall  f1-score   support

           0       1.00      1.00      1.00       280
           1       0.95      0.94      0.94       262
           2       0.94      0.95      0.95       276
           3       1.00      0.99      1.00       247
           4       0.98      0.98      0.98       206
           5       0.97      0.98      0.98       200

    accuracy                           0.97      1471
   macro avg       0.97      0.97      0.97      1471
weighted avg       0.97      0.97      0.97      1471
